,No,Stock,Market Cap,SMA(60),SMA(5),"MACD H(12,26,29)","%K(1,14,3)","%D(1,14,3)",Last
0,1,ARKA,576.0 B,710.3,288.0,24.58,100.0,100.0,288
1,2,MREI,2.3 T,5859.58,4412.0,36.13,50.0,43.59,4400
